date,primemover_id,time,travel_empty,stopped_empty,loading,travel_loaded,stopped_loaded,dumping,nett_cycle_time
2022-06-07,7007,22:40:23,37.36,1.98,8.17,0.28,0.18,2.63,50.62
2022-06-07,7008,22:48:40,0.0,30.9,0.0,0.0,29.25,2.35,62.5
2022-06-07,7007,23:31:00,16.39,95.04,5.3,21.48,3.32,2.95,144.47
2022-06-07,7008,23:51:10,0.0,21.87,0.0,0.0,19.48,2.54,43.88
2022-06-08,7008,01:35:03,0.0,28.83,0.0,0.0,21.2,2.41,52.45
2022-06-08,7007,01:55:28,15.99,13.81,5.86,20.99,4.23,2.79,63.68
2022-06-08,7008,02:27:30,0.0,23.47,0.0,0.0,34.74,2.39,60.6
2022-06-08,7007,02:59:09,36.32,1.66,11.37,0.23,0.22,2.35,52.15
2022-06-08,7008,03:28:06,0.0,29.27,0.0,0.0,25.15,2.23,56.65
2022-06-08,7007,03:51:18,16.31,3.14,10.63,21.51,1.4,2.46,55.45
2022-06-08,7008,04:24:45,0.0,27.27,0.0,0.0,18.41,2.52,48.18
2022-06-08,7007,04:46:45,15.41,0.13,5.97,21.7,2.73,2.32,48.27
2022-06-08,7008,05:12:56,0.0,14.37,0.0,0.0,31.49,1.79,47.65
2022-06-08,7007,05:35:01,34.71,0.23,8.2,0.25,0.33,2.55,46.27
2022-06-08,7007,06:25:40,34.68,6.04,10.58,0.0,0.0,3.16,54.46
2022-06-08,7008,06:27:02,0.0,0.0,0.0,0.0,0.0,1.57,1.56
2022-06-08,7008,06:30:04,0.0,19.78,0.0,0.0,23.25,2.3,45.33
2022-06-08,7007,07:56:50,15.84,0.91,10.13,20.23,2.9,2.73,52.75
2022-06-08,7008,07:59:27,0.0,22.68,0.0,0.0,3.25,0.77,26.7
2022-06-08,7008,08:26:09,0.0,2.12,0.0,0.0,0.0,0.5,2.62
2022-06-08,7008,08:28:46,0.0,1.73,0.0,0.0,0.0,0.49,2.22
2022-06-08,7008,08:30:59,0.0,26.59,0.0,0.0,0.0,0.38,26.97
2022-06-08,7007,08:49:35,25.37,15.34,6.58,12.14,0.67,2.6,62.7
2022-06-08,7008,08:57:57,0.0,12.68,0.0,0.0,23.45,1.72,37.85
2022-06-08,7008,09:35:48,0.0,48.05,0.0,0.0,0.12,1.53,49.7
2022-06-08,7007,09:52:17,34.99,8.3,4.48,1.78,1.3,3.0,53.87
2022-06-08,7008,10:25:30,0.0,33.64,0.0,0.0,23.84,2.42,59.88
2022-06-08,7007,10:46:09,35.62,3.39,4.89,0.78,11.79,2.4,58.85
2022-06-08,7008,11:25:23,0.0,27.8,0.0,0.0,5.65,2.27,35.71
2022-06-08,7007,11:45:00,33.78,66.74,3.9,0.98,0.0,2.75,108.14
2022-06-08,7008,12:11:05,0.0,82.75,0.0,0.0,27.39,2.44,112.58
2022-06-08,7007,14:19:24,35.87,7.08,6.74,0.96,0.12,2.9,53.67
2022-06-08,7008,15:06:52,0.0,32.47,0.0,0.0,12.69,2.31,47.47
2022-06-08,7007,15:13:04,38.95,5.71,3.55,0.0,0.0,2.53,50.75
2022-06-08,7008,15:54:20,0.0,60.36,0.0,0.0,14.64,2.55,77.55
2022-06-08,7007,16:03:49,35.7,1.35,15.55,0.5,0.47,2.61,56.18
2022-06-08,7007,17:00:00,139.57,55.32,20.24,1.09,13.01,2.67,231.92
2022-06-08,7008,17:11:53,0.0,20.8,0.0,0.0,27.27,5.03,53.1
2022-06-08,7008,18:10:53,0.0,1.94,0.0,0.0,0.0,0.42,2.36
2022-06-08,7008,19:12:24,0.0,36.9,0.0,0.0,19.3,2.3,58.5
2022-06-08,7008,20:10:54,0.0,33.85,0.0,0.0,21.35,2.37,57.57
2022-06-08,7007,20:51:55,15.62,0.17,6.25,19.87,2.05,2.78,46.73
2022-06-08,7008,21:08:28,0.0,60.82,0.0,0.0,52.9,2.3,116.02
2022-06-08,7007,21:38:39,16.08,0.23,7.76,20.45,22.71,2.72,69.97
2022-06-08,7007,22:48:37,15.61,1.9,9.82,19.96,0.79,83.85,131.93
2022-06-08,7008,23:04:29,0.0,16.05,0.0,0.0,32.12,2.29,50.45
2022-06-08,7008,23:54:56,0.0,27.08,0.0,0.0,20.85,2.33,50.26
2022-06-09,7007,01:00:32,17.03,1.51,10.33,21.19,6.07,2.61,58.74
2022-06-09,7007,01:59:17,34.74,1.05,11.86,0.0,0.45,2.65,50.75
2022-06-09,7007,02:50:02,73.88,19.05,16.29,0.0,0.0,2.62,111.83
2022-06-09,7008,02:52:26,0.0,21.45,0.0,0.0,25.07,2.36,48.88
2022-06-09,7008,03:41:19,0.0,77.87,0.0,0.0,19.69,2.47,100.02
2022-06-09,7007,04:41:52,18.36,31.8,7.15,21.35,24.89,2.56,106.12
2022-06-09,7008,05:21:20,0.0,36.37,0.0,0.0,2.4,2.53,41.29
2022-06-09,7008,06:24:21,0.0,85.91,0.0,0.0,21.02,1.78,108.71
2022-06-09,7007,06:58:59,19.47,48.76,9.86,16.04,461.68,2.83,558.63
2022-06-09,7008,08:57:14,0.0,22.35,0.0,0.0,25.2,1.63,49.18
2022-06-09,7008,09:46:25,0.0,30.42,0.0,0.0,24.62,2.08,57.12
2022-06-09,7008,10:43:32,0.0,22.17,0.0,0.0,25.5,2.31,49.98
2022-06-09,7008,11:33:31,0.0,21.37,0.0,0.0,3.82,2.36,27.55
2022-06-09,7008,12:17:36,0.0,23.63,0.0,0.0,14.45,2.25,40.34
2022-06-09,7008,13:39:15,0.0,34.69,0.0,0.0,17.75,2.48,54.92
2022-06-09,7008,14:34:10,0.0,32.37,0.0,0.0,10.03,2.52,44.92
2022-06-09,7008,15:19:05,0.0,37.65,0.0,0.0,37.11,2.43,77.18
2022-06-09,7007,16:17:37,37.92,21.69,5.81,0.0,0.47,2.55,68.43
2022-06-09,7008,16:36:16,0.0,29.93,0.0,0.0,20.36,2.18,52.48
2022-06-09,7007,17:26:03,16.82,5.15,6.09,19.56,115.03,2.65,165.33
2022-06-09,7008,17:28:45,0.0,22.72,0.0,0.0,7.3,3.0,33.02
2022-06-09,7008,18:21:54,0.0,404.47,0.0,0.0,3.66,1.7,409.83
2022-06-09,7007,20:11:23,34.43,1.16,7.09,1.02,0.0,2.74,46.43
2022-06-09,7007,20:57:49,35.64,20.34,13.68,0.7,0.88,3.0,74.24
2022-06-09,7007,22:12:03,16.92,9.09,28.88,65.88,0.86,1.56,123.18
2022-06-10,7007,01:12:27,42.06,12.11,16.53,0.57,0.0,2.95,74.2
2022-06-10,7008,01:55:01,1.08,454.53,8.68,19.22,7.18,4.75,495.46
2022-06-10,7007,02:26:39,18.7,1.02,5.55,24.81,8.58,2.44,61.1
2022-06-10,7007,03:27:45,16.96,163.43,14.43,16.23,5.72,3.17,219.95
2022-06-10,7008,10:44:09,15.55,0.35,6.48,19.06,1.58,2.35,45.38
2022-06-10,7007,10:50:18,14.78,0.18,9.35,19.28,3.46,2.88,49.95
2022-06-10,7008,11:29:32,27.59,153.32,31.28,46.71,19.03,2.67,280.57
2022-06-10,7007,11:40:15,43.45,133.17,4.55,0.62,1.88,2.57,186.25
2022-06-10,7007,14:46:30,34.45,8.31,22.49,0.0,0.0,2.4,67.65
2022-06-10,7007,15:54:09,16.29,0.85,19.72,19.72,1.26,2.72,60.57
2022-06-10,7008,16:10:06,17.07,14.41,11.09,23.2,7.44,2.3,75.5
2022-06-10,7007,16:54:43,37.25,1.41,10.49,2.0,0.0,2.94,54.08
2022-06-10,7008,17:25:36,16.95,6.36,16.59,22.39,10.44,2.48,75.22
2022-06-10,7007,17:48:48,37.24,144.6,1.29,0.48,3.59,3.35,190.55
2022-06-10,7008,19:51:20,16.42,60.89,13.45,23.51,2.0,2.4,118.68
2022-06-10,7008,21:50:01,16.25,5.62,8.71,23.57,3.26,2.47,59.87
2022-06-10,7007,22:11:27,29.95,0.13,3.33,9.14,5.9,3.0,51.45
2022-06-10,7008,22:49:53,18.26,0.32,7.9,22.82,4.01,2.29,55.6
2022-06-10,7007,23:02:54,16.13,0.42,6.58,24.62,10.0,2.6,60.33
2022-06-10,7008,23:45:29,0.23,1.96,0.0,0.0,0.0,66.25,68.45
2022-06-11,7007,00:04:36,18.4,0.4,12.62,21.15,2.24,2.78,57.59
2022-06-11,7008,00:53:56,18.09,0.25,10.71,24.16,6.16,2.47,61.85
2022-06-11,7007,01:52:25,26.96,28.0,23.0,82.3,6.68,80.63,247.58
2022-06-11,7008,01:57:28,18.58,1.34,4.51,23.45,4.92,45.64,98.42
2022-06-11,7008,03:35:53,31.69,94.25,15.34,12.55,1.15,3.09,158.07
2022-06-11,7007,07:04:50,27.96,7.68,6.09,20.77,3.9,2.65,69.05
2022-06-11,7008,07:29:53,7.88,6.55,8.64,21.57,6.69,2.37,53.69
2022-06-11,7007,08:13:53,16.05,0.0,5.56,18.1,2.73,2.74,45.17
2022-06-11,7008,08:23:35,25.92,17.58,0.0,13.36,2.97,2.48,62.32
2022-06-11,7007,08:59:03,15.15,0.38,3.54,20.75,5.17,2.67,47.65
2022-06-11,7008,09:25:54,16.15,45.9,4.99,20.92,5.67,2.45,96.08
2022-06-11,7007,09:46:42,16.31,17.03,6.25,19.53,2.78,2.62,64.53
2022-06-11,7007,10:51:14,15.52,0.47,6.67,17.88,106.9,0.37,147.82
2022-06-11,7008,11:01:59,12.93,0.2,6.24,23.83,1.69,2.47,47.35
2022-06-11,7008,11:49:20,35.11,9.42,7.45,0.0,0.0,2.72,54.69
2022-06-11,7007,13:19:03,34.16,9.82,6.59,1.76,0.97,2.42,55.7
2022-06-11,7008,13:43:41,19.19,0.36,7.43,17.48,0.38,2.73,47.58
2022-06-11,7007,14:14:45,39.61,38.43,6.75,0.0,0.0,2.67,87.43
2022-06-11,7008,14:31:16,11.15,0.1,5.8,24.14,7.34,2.34,50.85
2022-06-11,7008,15:22:07,12.12,0.15,10.37,21.09,0.46,2.52,46.7
2022-06-11,7007,15:42:11,14.89,0.65,7.32,18.98,2.16,2.84,46.85
2022-06-11,7008,16:08:49,14.32,12.31,11.85,20.52,0.59,2.44,62.02
2022-06-11,7007,16:29:02,23.96,53.57,4.57,2.4,5.02,2.36,91.85
2022-06-11,7008,17:10:50,27.73,0.0,6.72,4.73,0.0,3.43,42.62
2022-06-11,7008,17:53:27,14.78,1.72,11.04,22.09,0.82,4.51,54.98
